t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.90585,4.405032,0.061454999999999996
0.25,4.909404,4.40856,0.061391999999999995
0.31,4.910234,4.409680000000001,0.06141799999999999
0.37,4.910116,4.409821,0.061412
0.435,4.910251000000001,4.410188,0.06141900000000001
0.5,4.9101360000000005,4.4103069999999995,0.061415
0.56,4.910108,4.410480000000001,0.061411
0.62,4.910068,4.4107389999999995,0.06141
0.68,4.9100269999999995,4.410964,0.061416
0.74,4.909915,4.41105,0.061413
0.805,4.90983,4.4112800000000005,0.061411
0.865,4.909758999999999,4.411687000000001,0.061411
0.93,4.909651,4.411985,0.061412
0.995,4.909529,4.411967,0.06140399999999999
1.06,4.909415,4.412095,0.061412
1.12,4.909339,4.412136,0.061411
1.185,4.909244999999999,4.4121690000000005,0.061403
1.245,4.909142,4.412178,0.061413
1.31,4.909015,4.412217,0.06141
1.37,4.908919,4.4122900000000005,0.061411
1.435,4.908795,4.412311,0.061413
1.495,4.908802,4.412228,0.06141
1.56,4.908677,4.412209,0.061408000000000004
1.62,4.908542,4.412173,0.061411
1.685,4.90461,4.414775,0.061387
1.745,4.8956610000000005,4.420421,0.061398
1.81,4.885461,4.426849,0.06138300000000001
1.87,4.877539,4.431891,0.061390999999999994
1.935,4.869831,4.436748000000001,0.061392999999999996
1.995,4.861699,4.4418809999999995,0.061394000000000004
2.055,4.852984999999999,4.447375,0.06140399999999999
2.12,4.844251,4.452858999999999,0.061394000000000004
2.18,4.8365800000000005,4.457699,0.061395000000000005
2.245,4.827755000000001,4.4632830000000006,0.061398
2.305,4.8194,4.468553,0.0614
2.37,4.810719000000001,4.474035,0.061398
2.435,4.8020629999999995,4.479507,0.061392999999999996
2.5,4.793214,4.4850900000000005,0.061394000000000004
2.565,4.784402,4.4906559999999995,0.061399
2.63,4.775723999999999,4.496118,0.061395000000000005
2.69,4.7676300000000005,4.501207,0.061395000000000005
2.755,4.758785,4.506803,0.061398
2.82,4.750044,4.512313,0.061397
2.885,4.741301999999999,4.517834,0.061397
2.95,4.732545,4.52337,0.061398
3.015,4.723758999999999,4.528908,0.061402
3.075,4.7156,4.534061,0.061398
3.14,4.706872,4.539578,0.061397
3.205,4.698141000000001,4.545115,0.061395000000000005
3.27,4.689358,4.5506519999999995,0.061401
3.335,4.681169000000001,4.554073000000001,0.06138099999999999
3.4,4.673954,4.554656,0.061377999999999995
3.46,4.667157,4.555066,0.061389
3.525,4.658476,4.555134,0.061404999999999994
3.585,4.650451,4.555135,0.0614
3.65,4.641757,4.555135,0.0614
3.715,4.63309,4.555135,0.061401
3.78,4.624423,4.555135,0.061399
3.845,4.61576,4.555135,0.0614
3.91,4.607088,4.555134,0.061399
3.97,4.599088,4.555135,0.061402
4.035,4.590459,4.555135,0.061399
4.1,4.581811,4.555135,0.0614
4.165,4.573165,4.555135,0.061401
4.23,4.564539,4.555135,0.061401
4.295,4.555902,4.555135,0.061402
4.36,4.547274,4.555135,0.06140399999999999
4.425,4.538648,4.555135,0.0614
4.485,4.530698999999999,4.555135,0.061401
4.55,4.522086,4.555135,0.0614
4.61,4.514142,4.555135,0.0614
4.675,4.5055510000000005,4.555135,0.061401
4.74,4.496963,4.555135,0.061399
4.805,4.4883690000000005,4.555135,0.061401
4.87,4.479769999999999,4.555135,0.061399
4.935,4.471175,4.555135,0.061401
5.0,4.462609,4.555135,0.061402
5.065,4.454034,4.555135,0.0614
5.13,4.445467,4.555135,0.061401
5.195,4.436906,4.555135,0.0614
5.255,4.42901,4.555135,0.0614
5.32,4.420443,4.555135,0.0614
5.38,4.412543,4.555135,0.061399
5.445,4.4039980000000005,4.555135,0.061403
5.505,4.396121,4.555135,0.0614
5.57,4.387569,4.555135,0.061402
5.635,4.3790379999999995,4.555135,0.0614
5.7,4.3705050000000005,4.555135,0.061402
5.765,4.361982,4.555135,0.061402
5.83,4.353473999999999,4.555135,0.061399
5.895,4.344965,4.555135,0.061399
5.96,4.33645,4.555135,0.061399
6.025,4.32795,4.555301999999999,0.061403
6.09,4.319407,4.555912999999999,0.061407
6.15,4.311517,4.556877,0.061408000000000004
6.215,4.302968,4.558362000000001,0.061408000000000004
6.275,4.295064,4.560153,0.06140399999999999
6.34,4.286471,4.562574,0.061407
6.405,4.277803,4.565519,0.06141
6.47,4.268834,4.569114,0.061409000000000005
6.535,4.259161,4.573674,0.061399
6.6,4.249159,4.579383999999999,0.0614
6.665,4.240875,4.584926,0.061399
6.73,4.232691,4.590636,0.061396000000000006
