,tau?,xMax?,yMin?
0,60,8.125,9.5
1,60,11.5625,9.84375
2,60,5.71875,4.6875
3,60,5.375,4.6875
4,60,6.40625,6.40625
5,60,5.03125,4.6875
6,60,5.03125,4.6875
7,60,5.375,4.6875
8,60,5.03125,4.6875
9,60,5.375,4.6875
10,60,5.03125,4.6875
11,60,5.375,4.6875
12,60,5.03125,4.6875
13,60,5.375,9.5
14,60,5.03125,4.6875
15,60,5.03125,4.6875
16,60,5.03125,4.6875
17,60,11.21875,9.84375
18,60,5.375,4.6875
19,60,5.03125,4.6875
20,60,5.375,9.84375
21,60,5.03125,4.6875
22,60,5.375,9.84375
23,60,5.03125,4.6875
24,60,11.21875,4.6875
25,60,5.03125,4.6875
26,60,5.03125,4.6875
27,60,5.03125,4.6875
28,60,10.53125,10.53125
29,60,5.71875,4.6875
30,60,5.375,4.6875
31,60,5.375,4.6875
32,60,5.03125,4.6875
33,60,5.03125,4.6875
34,60,5.71875,4.6875
35,60,5.375,9.15625
36,60,12.59375,4.6875
37,60,5.03125,4.6875
38,60,5.03125,5.03125
39,60,5.03125,4.6875
40,60,5.03125,4.6875
41,60,5.03125,4.6875
42,60,5.03125,4.6875
43,60,5.375,4.6875
44,60,5.03125,4.6875
45,60,5.03125,5.03125
46,60,6.75,5.71875
47,60,5.03125,4.6875
48,60,5.03125,4.6875
49,60,10.53125,10.53125
50,60,11.21875,11.21875
51,60,5.03125,5.03125
52,60,10.875,11.5625
53,60,5.375,10.1875
54,60,9.15625,7.78125
55,60,5.71875,4.6875
56,60,5.03125,4.6875
57,60,5.03125,4.6875
58,60,5.375,9.84375
59,60,5.03125,9.5
60,60,8.46875,7.4375
61,60,5.03125,4.6875
62,60,5.375,4.6875
63,60,5.375,9.84375
64,60,5.03125,5.03125
65,60,5.03125,4.6875
66,60,5.375,4.6875
67,60,5.03125,4.6875
68,60,5.03125,5.03125
69,60,5.03125,4.6875
70,60,5.03125,4.6875
71,60,6.75,7.78125
72,60,5.375,5.375
73,60,10.53125,4.6875
74,60,5.03125,4.6875
75,60,5.375,4.6875
76,60,5.375,4.6875
77,60,11.21875,4.6875
78,60,5.03125,4.6875
79,60,10.53125,4.6875
80,60,5.375,4.6875
81,60,13.96875,6.75
82,60,10.875,11.5625
83,60,5.375,4.6875
84,60,14.3125,6.0625
85,60,5.03125,4.6875
86,60,5.03125,4.6875
87,60,5.375,5.71875
88,60,5.375,4.6875
89,60,9.84375,10.1875
90,60,5.71875,12.59375
91,60,5.375,4.6875
92,60,9.84375,4.6875
93,60,5.375,5.71875
94,60,5.03125,4.6875
95,60,5.03125,4.6875
96,60,5.03125,4.6875
97,60,5.03125,5.03125
98,60,5.03125,5.03125
99,60,11.21875,9.5
100,60,10.875,11.5625
101,60,5.03125,4.6875
102,60,5.03125,4.6875
103,60,10.875,10.1875
104,60,5.375,4.6875
105,60,10.875,9.5
106,60,5.03125,4.6875
107,60,9.84375,9.5
108,60,5.03125,4.6875
109,60,5.375,4.6875
110,60,9.15625,7.78125
111,60,5.71875,4.6875
112,60,5.03125,4.6875
113,60,5.375,5.375
114,60,8.8125,6.40625
115,60,5.375,4.6875
116,60,11.21875,9.84375
117,60,5.03125,4.6875
118,60,12.25,5.375
119,60,10.1875,7.4375
120,60,5.03125,4.6875
121,60,5.03125,4.6875
122,60,5.03125,4.6875
123,60,10.875,10.1875
124,60,5.03125,4.6875
125,60,5.03125,4.6875
126,60,5.03125,4.6875
127,60,7.78125,8.8125
128,60,10.875,11.5625
129,60,5.03125,4.6875
130,60,6.75,4.6875
131,60,5.03125,4.6875
132,60,5.03125,4.6875
133,60,10.875,9.84375
134,60,5.03125,4.6875
135,60,8.8125,4.6875
136,60,5.375,4.6875
137,60,10.1875,4.6875
138,60,5.375,4.6875
139,60,10.1875,4.6875
140,60,5.71875,12.59375
141,60,5.03125,4.6875
142,60,5.03125,4.6875
143,60,5.375,4.6875
144,60,5.375,5.375
145,60,10.875,10.1875
146,60,5.03125,4.6875
147,60,5.375,4.6875
148,60,5.03125,4.6875
